Date,Open,High,Low,Close,Volume
2021-03-10 00:00:00,546,550.04,544.18,550.04,258697.0652193
2021-03-09 23:00:00,542.37,545.89,541.68,545.48,130835.955212992
2021-03-09 22:00:00,540.94,543.2,539.65,543.2,99885.440679416
2021-03-09 21:00:00,535.66,540.42,535,540.42,77500.6555313592
2021-03-09 20:00:00,534.66,536.61,533.75,535.41,110247.856601845
2021-03-09 19:00:00,533.1,535.84,532.5,535.54,52687.4182196896
2021-03-09 18:00:00,533.38,535.9,532.69,533.21,350444.871678503
2021-03-09 17:00:00,536.01,537.44,533.86,534.47,86523.4018030176
2021-03-09 16:00:00,538.2,540.71,532.87,536,373404.50410192
2021-03-09 15:00:00,536.9,537.36,532.79,537.36,169498.595905001
2021-03-09 14:00:00,540.64,540.64,535.71,536.96,302454.795876006
2021-03-09 13:00:00,532.05,542.05,532.05,542.05,260997.142924285
2021-03-09 12:00:00,540.09,540.09,532.13,532.85,151426.081348386
2021-03-09 11:00:00,539.95,541.11,536.17,539,72395.87028058
2021-03-09 10:00:00,543.39,546.15,538.43,540.7,736703.095715151
2021-03-09 09:00:00,543.17,545.23,540.98,543.55,92267.5265919225
2021-03-09 08:00:00,536.02,542.7,536.02,542.13,163374.817479026
2021-03-09 07:00:00,539.98,540.1,534.61,535.02,279550.700901634
2021-03-09 06:00:00,544.44,547.57,539.66,540.35,187819.995883792
2021-03-09 05:00:00,540.38,545.5,540.36,545,333803.0179156
2021-03-09 04:00:00,545,545,537.98,539.88,106766.526428245
2021-03-09 03:00:00,539.41,544.86,536.93,544.86,268041.00531537
2021-03-09 02:00:00,535.41,539.55,532.72,538,271941.15164018
2021-03-09 01:00:00,527.7,537.55,527.7,533.82,280580.019598166
2021-03-09 00:00:00,530,532.66,523.49,527.56,435152.539780618
2021-03-08 23:00:00,522.35,529.97,521.83,529.85,118605.857882992
2021-03-08 22:00:00,519.52,522.62,519.36,522.62,43905.1719807316
2021-03-08 21:00:00,520.89,520.98,517.98,519.97,135984.68021935
2021-03-08 20:00:00,520.44,521.43,518.94,521.07,556146.346718322
2021-03-08 19:00:00,518.63,522.12,517.4,520.56,138782.406078583
2021-03-08 18:00:00,517.85,520.17,517,518.15,164064.288727838
2021-03-08 17:00:00,516.97,519.64,516.68,517.07,168465.363824413
2021-03-08 16:00:00,519.66,526,516.71,517.35,298039.777605606
2021-03-08 15:00:00,512.34,524.02,511.47,519.61,179313.393791168
2021-03-08 14:00:00,509.72,513.96,507.07,512.7,204100.100361312
2021-03-08 13:00:00,507.09,511.78,507.09,510.51,244683.866024898
2021-03-08 12:00:00,508.32,508.96,504.77,505.2,199788.465866208
2021-03-08 11:00:00,508.28,510.23,505.46,510.23,97660.5366328389
2021-03-08 10:00:00,505.96,509.59,505.53,507.91,218609.002282511
2021-03-08 09:00:00,508.58,508.69,500.86,504.78,289241.611522911
2021-03-08 08:00:00,506.69,507.53,503.72,506.03,191796.304033104
2021-03-08 07:00:00,515.21,516.28,503.71,507.3,252910.544448117
2021-03-08 06:00:00,521.88,521.99,515.33,515.73,92019.4793966337
2021-03-08 05:00:00,517.03,522.54,517.03,522.12,100852.417432721
2021-03-08 04:00:00,517.04,517.61,514.77,515.83,134982.764688566
2021-03-08 03:00:00,519.61,520.05,515.39,517.79,314241.126713241
2021-03-08 02:00:00,524.12,524.12,515.75,519.19,233833.88334528
2021-03-08 01:00:00,521.37,526.48,521.37,522.9,55938.657249783
2021-03-08 00:00:00,516,522.35,515.62,521.37,349134.259669695
2021-03-07 23:00:00,512.98,518.31,511.96,516.14,92072.2010914074
2021-03-07 22:00:00,507.94,512.39,507.94,512.39,105476.885095051
2021-03-07 21:00:00,507.2,509,505.97,508.14,21753.5889866058
2021-03-07 20:00:00,509.74,509.74,504.7,505.57,36401.2514950981
2021-03-07 19:00:00,510.16,510.69,508.45,510.57,79055.9548414011
2021-03-07 18:00:00,513.67,513.67,510.95,512.18,7652.805103369
2021-03-07 17:00:00,513.5,513.65,512.31,513.59,54578.1617356129
2021-03-07 16:00:00,511.64,514.74,511.31,513.34,151398.91369079
2021-03-07 15:00:00,508.12,511.19,507.66,510.28,118925.434900496
2021-03-07 14:00:00,508.84,512.37,503.6,507.09,138635.822863256
2021-03-07 13:00:00,508.46,509.12,506.96,509.12,111528.238263488
2021-03-07 12:00:00,511.49,512.11,506.88,510.92,146310.837888689
2021-03-07 11:00:00,511.48,511.56,509.7,510.47,132671.913130668
2021-03-07 10:00:00,515.26,515.26,510.16,512.24,74733.9469181984
2021-03-07 09:00:00,510.34,516,510.34,515.99,52417.57530783
2021-03-07 08:00:00,511.5,515.53,510.61,510.61,199309.421180299
2021-03-07 07:00:00,506.93,512.41,506.93,511.5,185583.76382832
2021-03-07 06:00:00,504.8,507.9,503.23,507.85,19944.0864427455
2021-03-07 05:00:00,504.93,505.19,503.77,505.1,25586.989082247
2021-03-07 04:00:00,507.27,507.27,505.23,505.8,19947.498840036
2021-03-07 03:00:00,509.6,511.48,506.82,506.93,99453.7326023299
2021-03-07 02:00:00,503.25,509.81,503.25,508.58,38520.5570314724
2021-03-07 01:00:00,507.63,507.63,503.08,503.08,150791.253311714
2021-03-07 00:00:00,502.01,509.94,502.01,507.46,109747.017622406
2021-03-06 23:00:00,503.13,503.5,500.02,500.24,151253.274789864
2021-03-06 22:00:00,496.11,502.63,495.8,500.9,130628.677933822
2021-03-06 21:00:00,496.37,497.19,495.18,495.79,44978.4349260413
2021-03-06 20:00:00,496.75,497.85,494.29,495.93,193939.442329272
2021-03-06 19:00:00,496.2,497.05,493.48,494.76,62722.558854774
2021-03-06 18:00:00,493.3,497.7,493.3,496.6,77715.263535702
2021-03-06 17:00:00,489.86,494.74,489.04,494.58,84029.523271722
2021-03-06 16:00:00,484.91,491.56,484.91,490.29,139272.293322361
2021-03-06 15:00:00,489.32,489.32,485.94,485.94,105167.007921066
2021-03-06 14:00:00,484.79,488.83,484.79,488.83,139452.574895876
2021-03-06 13:00:00,488.16,488.16,482.64,485.83,78820.4024695809
2021-03-06 12:00:00,495.66,496.3,486.33,487.55,209489.962043597
2021-03-06 11:00:00,496.51,497,495.34,495.78,54126.9734610582
2021-03-06 10:00:00,497.51,499.49,496.44,496.44,76101.0998343624
2021-03-06 09:00:00,500.01,501.42,496.81,496.81,93651.4890602253
2021-03-06 08:00:00,503.18,504.31,499.58,501.3,99389.73257244
2021-03-06 07:00:00,504.85,504.85,501.89,502.97,29444.0164715138
2021-03-06 06:00:00,497,505.21,497,505.14,192060.821107486
2021-03-06 05:00:00,491.93,497.5,489.07,497.43,101692.576264942
2021-03-06 04:00:00,494.16,494.16,491.49,492.47,88107.8452803857
2021-03-06 03:00:00,495.66,496.58,493.7,494.83,134165.967079405
2021-03-06 02:00:00,495.16,496.49,493.75,496.49,30639.9103823115
2021-03-06 01:00:00,497.83,497.83,495.38,495.58,36322.4710291988
2021-03-06 00:00:00,498.07,501.23,498.07,498.45,17297.990508807
2021-03-05 23:00:00,500.3,500.97,497.81,498.8,47979.98261216
2021-03-05 22:00:00,502.19,504.53,498.54,500.39,113112.730760844
2021-03-05 21:00:00,502,503.06,500.36,501.46,76931.2964784996
2021-03-05 20:00:00,499.82,502,496.98,502,214913.32597032
2021-03-05 19:00:00,495.77,500.59,494.57,498.98,202199.424550677
