Date,Open,High,Low,Close,Volume
2021-04-02 00:00:00,58744,58843,58594.28,58832.61,1161065.81547766
2021-04-01 00:00:00,58789.96,59490,57935.42,58728.53,163651800.587394
2021-03-31 00:00:00,58767.75,59816.17,56713.45,58782.58,270120798.919425
2021-03-30 00:00:00,57623.66,59388.66,57011,58760.59,199335818.741627
2021-03-29 00:00:00,55790.28,58402.68,54892.42,57600.1,308761054.24231
2021-03-28 00:00:00,55817.85,56573.04,54677.51,55790.92,115679637.961462
2021-03-27 00:00:00,55081.26,56686.15,53948.35,55839.42,145739075.864226
2021-03-26 00:00:00,51292.65,55114.86,51263.38,55081.37,268480429.136024
2021-03-25 00:00:00,52281.77,53271.59,50360,51326.11,342992755.966132
2021-03-24 00:00:00,54360.07,57207.33,51638.76,52287.52,359087907.611717
2021-03-23 00:00:00,54117.71,55866.44,52933.03,54361.57,271615608.569566
2021-03-22 00:00:00,57410.54,58461.78,53715,54070.92,355081945.303882
2021-03-21 00:00:00,58072.87,58632.52,55500,57381.79,208226913.830793
2021-03-20 00:00:00,58029.94,59957,57815.61,58138.39,138540623.433389
2021-03-19 00:00:00,57648.01,59450.95,56279.34,58072,204615665.955449
2021-03-18 00:00:00,58939.73,60083.25,57000,57648.05,318013386.397766
2021-03-17 00:00:00,56928.38,58968.8,54124,58901.8,343991048.969458
2021-03-16 00:00:00,55616.42,56950,53221,56908.34,440085094.04134
2021-03-15 00:00:00,58956.9,60595.13,54555,55644.37,429864668.917383
2021-03-14 00:00:00,61177.03,61700,58959.57,59016.39,193226870.002989
2021-03-13 00:00:00,57297.67,61781.83,56080.96,61165.19,378480042.401829
2021-03-12 00:00:00,57847.92,58098.5,55011,57271.04,299659867.990419
2021-03-11 00:00:00,55918.09,58155.99,54269,57772.09,383634856.820233
2021-03-10 00:00:00,54927.29,57402.89,53010,55852.29,386289974.699289
2021-03-09 00:00:00,52427.8,54939.26,51857,54929.02,298203730.647972
2021-03-08 00:00:00,50952.55,52427.8,49316.98,52427.8,231707867.237902
2021-03-07 00:00:00,48933.12,51477.53,48933.12,50967.3,143648782.126994
2021-03-06 00:00:00,48774.67,49200,47082.29,48904.63,104707761.548359
2021-03-05 00:00:00,48353.09,49471.24,46294,48739.21,254381971.127417
2021-03-04 00:00:00,50376.05,51817.54,47500,48360.5,272831183.689971
2021-03-03 00:00:00,48438,52652.82,48168.45,50379.68,309909954.267061
2021-03-02 00:00:00,49641.89,50250,47069.52,48516.35,239951620.782613
2021-03-01 00:00:00,45261.56,49831.52,45020.25,49629.33,422482547.349191
2021-02-28 00:00:00,46142.1,46659.88,43021,45240.96,301708257.640107
2021-02-27 00:00:00,46324.15,48365.31,45050,46109.98,141629955.945642
2021-02-26 00:00:00,47070.18,48476.62,44151.97,46314.83,376364840.967871
2021-02-25 00:00:00,49715.13,52079.16,46723,47088.58,372974183.494012
2021-02-24 00:00:00,48927.33,51459.51,47000,49754,436559842.950626
2021-02-23 00:00:00,54173.64,54196.58,44845.72,48887.93,868562429.057997
2021-02-22 00:00:00,57485.74,57564.19,47400,54173.65,921105509.367445
2021-02-21 00:00:00,55919.75,58354.14,55537.99,57492.91,204845485.349902
2021-02-20 00:00:00,56000.59,57553.81,54000,55936.04,290154249.361537
2021-02-19 00:00:00,51560.46,56399.99,50627.32,55988.58,516762416.116203
2021-02-18 00:00:00,52141.23,52566.98,50869.61,51579.54,326505859.88493
